authors	title	publication_year	doi	url	IS_ACCEPTED
Nick McKenna and Liane Guillou and Mohammad Javad Hosseini and Sander Bijl de Vroe and Mark Johnson and Mark Steedman	Multivalent Entailment Graphs for Question Answering	2021	https://doi.org/10.18653/v1/2021.emnlp-main.840	https://doi.org/10.18653/v1/2021.emnlp-main.840	FALSE
Jiaxin Shi and Shulin Cao and Lei Hou and Juanzi Li and Hanwang Zhang	TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph	2021	https://doi.org/10.18653/v1/2021.emnlp-main.341	https://doi.org/10.18653/v1/2021.emnlp-main.341	FALSE
Hanif Bhuiyan and Md. Abdul Karim and Faria Benta Karim and Jinat Ara	Semantic Improvement of Question-Answering System with Multi-Layer {LSTM}	2021	https://doi.org/10.1007/978-3-030-86970-0\_24	https://doi.org/10.1007/978-3-030-86970-0\_24	FALSE
Fuwei Zhang and Ruomei Wang and Songhua Xu and Fan Zhou	Fusing Temporally Distributed Multi-Modal Semantic Clues for Video Question Answering	2021	https://doi.org/10.1109/ICME51207.2021.9428225	https://doi.org/10.1109/ICME51207.2021.9428225	FALSE
Hongyu Ren and Hanjun Dai and Bo Dai and Xinyun Chen and Michihiro Yasunaga and Haitian Sun and Dale Schuurmans and Jure Leskovec and Denny Zhou	{LEGO:} Latent Execution-Guided Reasoning for Multi-Hop Question Answering on Knowledge Graphs	2021		http://proceedings.mlr.press/v139/ren21a.html	FALSE
Yudong Han and Yangyang Guo and Jianhua Yin and Meng Liu and Yupeng Hu and Liqiang Nie	Focal and Composed Vision-semantic Modeling for Visual Question Answering	2021	https://doi.org/10.1145/3474085.3475609	https://doi.org/10.1145/3474085.3475609	FALSE
Jingjing Jiang and Ziyi Liu and Yifan Liu and Zhixiong Nan and Nanning Zheng	{X-GGM:} Graph Generative Modeling for Out-of-distribution Generalization in Visual Question Answering	2021	https://doi.org/10.1145/3474085.3475350	https://doi.org/10.1145/3474085.3475350	FALSE
Liang Peng and Shuangji Yang and Yi Bin and Guoqing Wang	Progressive Graph Attention Network for Video Question Answering	2021	https://doi.org/10.1145/3474085.3475193	https://doi.org/10.1145/3474085.3475193	FALSE
Yongjie Huang and Meng Yang	Breadth First Reasoning Graph for Multi-hop Question Answering	2021	https://doi.org/10.18653/v1/2021.naacl-main.464	https://doi.org/10.18653/v1/2021.naacl-main.464	FALSE
Yucheng Zhou and Xiubo Geng and Tao Shen and Wenqiang Zhang and Daxin Jiang	Improving Zero-Shot Cross-lingual Transfer for Multilingual Question Answering over Knowledge Graph	2021	https://doi.org/10.18653/v1/2021.naacl-main.465	https://doi.org/10.18653/v1/2021.naacl-main.465	TRUE
Andrei{-}Marius Avram and George{-}Eduard Zaharia and Dumitru{-}Clementin Cercel and Mihai Dascalu	{UPB} at SemEval-2021 Task 8: Extracting Semantic Information on Measurements as Multi-Turn Question Answering	2021	https://doi.org/10.18653/v1/2021.semeval-1.65	https://doi.org/10.18653/v1/2021.semeval-1.65	FALSE
Rajat Koner and Hang Li and Marcel Hildebrandt and Deepan Das and Volker Tresp and Stephan G{\"{u}}nnemann	Graphhopper: Multi-hop Scene Graph Reasoning for Visual Question Answering	2021	https://doi.org/10.1007/978-3-030-88361-4\_7	https://doi.org/10.1007/978-3-030-88361-4\_7	FALSE
Rui Yan and Weiheng Liao and Jianwei Cui and Hailei Zhang and Yichuan Hu and Dongyan Zhao	Multilingual {COVID-QA:} Learning towards Global Information Sharing via Web Question Answering in Multiple Languages	2021	https://doi.org/10.1145/3442381.3449991	https://doi.org/10.1145/3442381.3449991	FALSE
Cen Chen and Chengyu Wang and Minghui Qiu and Dehong Gao and Linbo Jin and Wang Li	Cross-domain Knowledge Distillation for Retrieval-based Question Answering Systems	2021	https://doi.org/10.1145/3442381.3449814	https://doi.org/10.1145/3442381.3449814	FALSE
Yingting Li	Counterfactual-Augmented Data for Multi-Hop Knowledge Base Question Answering	2021	https://doi.org/10.1145/3442442.3453706	https://doi.org/10.1145/3442442.3453706	FALSE
Andrei{-}Marius Avram and George{-}Eduard Zaharia and Dumitru{-}Clementin Cercel and Mihai Dascalu	{UPB} at SemEval-2021 Task 8: Extracting Semantic Information on Measurements as Multi-Turn Question Answering	2021		https://arxiv.org/abs/2104.04549	FALSE
Jiaxin Shi and Shulin Cao and Lei Hou and Juanzi Li and Hanwang Zhang	TransferNet: An Effective and Transparent Framework for Multi-hop Question Answering over Relation Graph	2021		https://arxiv.org/abs/2104.07302	FALSE
Nick McKenna and Liane Guillou and Mohammad Javad Hosseini and Sander Bijl de Vroe and Mark Steedman	Multivalent Entailment Graphs for Question Answering	2021		https://arxiv.org/abs/2104.07846	FALSE
Yongqi Li and Wenjie Li and Liqiang Nie	A Graph-guided Multi-round Retrieval Method for Conversational Open-domain Question Answering	2021		https://arxiv.org/abs/2104.08443	FALSE
Weiwen Xu and Huihui Zhang and Deng Cai and Wai Lam	Dynamic Semantic Graph Construction and Reasoning for Explainable Multi-hop Science Question Answering	2021		https://arxiv.org/abs/2105.11776	FALSE
Rajat Koner and Hang Li and Marcel Hildebrandt and Deepan Das and Volker Tresp and Stephan G{\"{u}}nnemann	Graphhopper: Multi-Hop Scene Graph Reasoning for Visual Question Answering	2021		https://arxiv.org/abs/2107.06325	FALSE
Zizheng Lin and Haowen Ke and Ngo{-}Yin Wong and Jiaxin Bai and Yangqiu Song and Huan Zhao and Junpeng Ye	Multi-Relational Graph based Heterogeneous Multi-Task Learning in Community Question Answering	2021		https://arxiv.org/abs/2110.02059	FALSE
Weiqiang Jin and Hang Yu and Xi Tao and Ruiping Yin	Improving Embedded Knowledge Graph Multi-hop Question Answering by introducing Relational Chain Reasoning	2021		https://arxiv.org/abs/2110.12679	FALSE
Guanglin Niu and Yang Li and Chengguang Tang and Zhongkai Hu and Shibin Yang and Peng Li and Chengyu Wang and Hao Wang and Jian Sun	Path-Enhanced Multi-Relational Question Answering with Knowledge Graph Embeddings	2021		https://arxiv.org/abs/2110.15622	FALSE
Jianyun Zou and Min Yang and Lichao Zhang and Yechen Xu and Qifan Pan and Fengqing Jiang and Ran Qin and Shushu Wang and Yifan He and Songfang Huang and Zhou Zhao	A Chinese Multi-type Complex Questions Answering Dataset over Wikidata	2021		https://arxiv.org/abs/2111.06086	FALSE
Junbin Xiao and Angela Yao and Zhiyuan Liu and Yicong Li and Wei Ji and Tat{-}Seng Chua	Video as Conditional Graph Hierarchy for Multi-Granular Question Answering	2021		https://arxiv.org/abs/2112.06197	FALSE
Jianjian Cao and Xiameng Qin and Sanyuan Zhao and Jianbing Shen	Bilateral Cross-Modality Graph Matching Attention for Feature Fusion in Visual Question Answering	2021		https://arxiv.org/abs/2112.07270	FALSE
Vishwajeet Kumar and Saneem A. Chemmengath and Yash Gupta and Jaydeep Sen and Samarth Bharadwaj and Soumen Chakrabarti	Multi-Instance Training for Question Answering Across Table and Linked Text	2021		https://arxiv.org/abs/2112.07337	FALSE
Shen Gao and Yuchi Zhang and Yongliang Wang and Yang Dong and Xiuying Chen and Dongyan Zhao and Rui Yan	HeteroQA: Learning towards Question-and-Answering through Multiple Information Sources via Heterogeneous Graph Modeling	2021		https://arxiv.org/abs/2112.13597	FALSE
Min Zhang and Feng Li and Yang Wang and Zequn Zhang and Yanhai Zhou and Xiaoyu Li	Coarse and Fine Granularity Graph Reasoning for Interpretable Multi-Hop Question Answering	2020	https://doi.org/10.1109/ACCESS.2020.2981134	https://doi.org/10.1109/ACCESS.2020.2981134	FALSE
Mehrdad Alizadeh and Barbara Di Eugenio	Incorporating Verb Semantic Information in Visual Question Answering Through Multitask Learning Paradigm	2020	https://doi.org/10.1142/S1793351X20400085	https://doi.org/10.1142/S1793351X20400085	FALSE
Xu Wang and Shuai Zhao and Bo Cheng and Jiale Han and Yingting Li and Hao Yang and Guoshun Nan	{HGMAN:} Multi-Hop and Multi-Answer Question Answering Based on Heterogeneous Knowledge Graph (Student Abstract)	2020		https://ojs.aaai.org/index.php/AAAI/article/view/7249	FALSE
